SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,48,215,Texas,Hidalgo County,12,0,868707,426020,442687,412435,429994,4361,3386,2326,2362,4457,4621,201,202,2240,2122
50,48,217,Texas,Hill County,12,0,36649,18208,18441,16330,16492,1200,1256,197,162,101,148,28,25,352,358
50,48,219,Texas,Hockley County,12,0,23021,11476,11545,10614,10746,464,463,162,144,76,41,9,6,151,145
50,48,221,Texas,Hood County,12,0,61643,30043,31600,28590,30220,383,326,328,277,229,316,25,33,488,428
50,48,223,Texas,Hopkins County,12,0,37084,18259,18825,16188,16709,1346,1409,195,192,139,126,21,24,370,365
50,48,225,Texas,Houston County,12,0,22968,12294,10674,8685,7822,3272,2513,98,68,74,114,2,0,163,157
50,48,227,Texas,Howard County,12,0,36664,20951,15713,18055,14278,1842,722,359,231,275,178,23,13,397,291
50,48,229,Texas,Hudspeth County,12,0,4886,2594,2292,2321,2085,122,66,47,50,38,38,6,3,60,50
50,48,231,Texas,Hunt County,12,0,98594,48534,50060,42133,43142,3880,4250,602,685,716,775,94,101,1109,1107
50,48,233,Texas,Hutchinson County,12,0,20938,10583,10355,9718,9484,329,296,212,237,74,85,6,8,244,245
50,48,235,Texas,Irion County,12,0,1536,781,755,744,718,9,10,10,8,4,4,0,0,14,15
50,48,237,Texas,Jack County,12,0,8935,5047,3888,4580,3718,320,46,54,44,31,21,4,8,58,51
50,48,239,Texas,Jackson County,12,0,14760,7345,7415,6573,6612,478,517,72,67,82,77,3,4,137,138
50,48,241,Texas,Jasper County,12,0,35529,17578,17951,14298,14465,2754,2939,132,137,100,109,10,18,284,283
50,48,243,Texas,Jeff Davis County,12,0,2274,1164,1110,1096,1031,16,14,17,17,7,27,2,0,26,21
50,48,245,Texas,Jefferson County,12,0,251565,128629,122936,77332,71218,42361,43446,1472,1163,5097,4826,124,113,2243,2170
50,48,247,Texas,Jim Hogg County,12,0,5200,2666,2534,2590,2460,25,16,19,17,14,15,0,2,18,24
50,48,249,Texas,Jim Wells County,12,0,40482,20086,20396,19288,19715,278,155,231,178,90,151,15,14,184,183
50,48,251,Texas,Johnson County,12,0,175817,87897,87920,79831,80500,3975,3410,904,858,817,931,469,414,1901,1807
50,48,253,Texas,Jones County,12,0,20083,12602,7481,9744,6896,2373,285,166,117,116,47,1,0,202,136
50,48,255,Texas,Karnes County,12,0,15601,9136,6465,7645,6123,1286,137,87,80,36,44,4,2,78,79
50,48,257,Texas,Kaufman County,12,0,136154,67120,69034,54819,55839,9045,9889,686,694,932,1095,63,65,1575,1452
50,48,259,Texas,Kendall County,12,0,47431,23250,24181,21954,22859,376,311,193,162,283,388,24,22,420,439
50,48,261,Texas,Kenedy County,12,0,404,212,192,188,176,12,5,3,4,6,1,0,0,3,6
50,48,263,Texas,Kent County,12,0,762,388,374,362,355,4,5,7,5,0,1,1,0,14,8
50,48,265,Texas,Kerr County,12,0,52600,25326,27274,23652,25684,605,433,303,301,281,347,36,24,449,485
50,48,267,Texas,Kimble County,12,0,4337,2126,2211,2030,2143,24,14,41,21,16,20,1,2,14,11
50,48,269,Texas,King County,12,0,272,136,136,130,128,0,0,2,2,0,0,1,0,3,6
50,48,271,Texas,Kinney County,12,0,3667,2012,1655,1879,1541,50,30,33,26,9,13,4,4,37,41
50,48,273,Texas,Kleberg County,12,0,30680,15592,15088,14003,13843,732,527,182,128,450,287,25,32,200,271
50,48,275,Texas,Knox County,12,0,3664,1792,1872,1598,1691,100,114,31,13,6,6,0,1,57,47
50,48,277,Texas,Lamar County,12,0,49859,23999,25860,19521,20732,3109,3624,459,484,176,219,10,14,724,787
50,48,279,Texas,Lamb County,12,0,12893,6395,6498,5861,5895,282,316,107,116,27,41,5,7,113,123
50,48,281,Texas,Lampasas County,12,0,21428,10526,10902,9449,9797,508,399,110,148,123,179,59,58,277,321
50,48,283,Texas,La Salle County,12,0,7520,4425,3095,4270,2976,64,55,41,23,14,19,0,2,36,20
50,48,285,Texas,Lavaca County,12,0,20154,9863,10291,8966,9324,630,683,70,69,43,65,9,9,145,141
